7zip 26.02-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
talloc 2.5.0-1
tar 1.35-3
tdb 1.4.15-1
tevent 1:0.17.2-1
texinfo 7.3-1
thin-provisioning-tools 1.3.3-1
tinysparql 3.11.1-1
tomlplusplus 3.4.0-2
tpm2-tss 4.2.0-2
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
tzdata 2026c-1
uchardet 0.0.8-4
udisks2 2.11.2-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uwsm 0.26.6-1
v4l-utils 1.32.0-2
vapoursynth 77-2
verdict 1.4.5-2
vid.stab 1.1.1-3
vim 9.2.0849-1
vim-runtime 9.2.0849-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vscodium-bin 1.126.04524-1
vulkan-icd-loader 1.4.357.0-1
wayland 1.26.0-1
wayland-protocols 1.49-1
webkit2gtk-4.1 2.52.5-2
webrtc-audio-processing-1 1.3-5
wget 1.25.0-6
which 2.25-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xapp 3.2.2-1
xapp-symbolic-icons 1.1.0-1
xautomation 1.09-6
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorgproto 2025.1-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.13-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yay 13.0.1-1
yay-debug 13.0.1-1
yazi 26.5.6-4
ytmdesktop-debug 2.0.11-1
yyjson 0.12.0-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-14
zix 0.8.2-1
zlib-ng 2.3.3-1
zlib-ng-compat 2.3.3-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
zstd 1.5.7-3
zxing-cpp 3.1.1-1
