7zip 26.02-1
neon 0.37.1-1
neovim 0.12.4-1
nettle 4.0-1
networkmanager 1.58.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
noto-fonts 1:2026.08.01-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
nvidia-open-dkms 610.57.04-1
nvidia-settings 610.57.04-1
nvidia-utils 610.57.04-1
obs-studio 32.2.2-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencore-amr 0.1.6-2
opencv 5.0.0-9
openexr 3.4.14-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openrazer-daemon 3.12.4-1
openrazer-driver-dkms 3.12.4-1
openssh 10.5p1-1
openssl 3.6.3-1
opentimelineio 0.18.1-3
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre2 10.47-1
pcre 8.45-5
pcsclite 2.5.1-1
perl 5.42.2-2
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
plasma-activities 6.7.4-1
polkit 127-3
polkit-kde-agent 6.7.4-1
polkit-qt6 0.201.1-1
polychromatic 0.9.8-1
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
procps-ng 4.0.7-1
protobuf 35.1-1
psmisc 23.7-2
pugixml 1.16-1
purpose 6.29.0-1
python 3.14.7-1
python-aaf2 1.7.1-4
python-autocommand 2.2.2-9
python-beautifulsoup4 4.15.0-1
python-brotli 1.2.0-1
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-colorama 0.4.6-6
python-colour 0.1.5-16
python-curl-adapter 1.2.1-2
python-curl_cffi 0.16.0-2
python-daemonize 2.5.0-10
python-dbus 1.4.0-2
python-dbusmock 0.38.1-1
python-distro 1.9.0-4
python-dnspython 1:2.8.0-3
python-evdev 1.9.3-1
python-eventlet 0.41.0-1
python-gevent 26.8.0-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-idna 3.18-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lxml 6.1.1-1
python-mako 1.3.12-1
python-markdown 3.10.3-1
python-markdown-it-py 4.2.0-1
python-markupsafe 3.0.3-1
python-mdurl 0.1.2-9
python-moddb 0.15.0-1
python-more-itertools 11.1.0-1
python-numpy 2.5.2-1
python-openrazer 3.12.4-1
python-packaging 26.3-1
python-pefile 2024.8.26-2
python-pillow 12.3.0-1
python-platformdirs 4.11.3-1
python-psutil 7.2.2-1
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-pycurl 7.47.0-1
python-pygments 2.20.0-1
python-pyqt6 6.11.0-2
python-pyqt6-sip 13.12.0-1
python-pyqt6-webengine 6.11.0-1
python-pyudev 0.24.4-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-rich 15.0.0-1
python-setproctitle 1.3.7-2
python-setuptools 1:84.0.0-1
python-soupsieve 2.9.2-1
python-tqdm 4.70.0-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-vdf 4.0-5
python-wheel 0.48.0-1
python-yaml 6.0.3-2
python-zope-event 6.2-1
python-zope-interface 8.5-1
qalculate-gtk 5.12.0-1
qca-qt6 2.3.10-8
qpdf 12.3.2-2
qqc2-desktop-style 6.29.0-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6ct-kde 0.11-8
qt6ct-kde-debug 0.11-8
qt6-declarative 6.11.1-3
qt6-multimedia 6.11.1-2
qt6-multimedia-ffmpeg 6.11.1-2
qt6-networkauth 6.11.1-1
qt6-positioning 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-5
quickshell 0.3.0-2
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
re2 2:2025.11.05-5
readline 8.3.003-1
redland 1:1.0.17-10
reflector 2023-5
resvg 0.48.1-1
ripgrep 15.2.0-1
ripgrep-all 0.10.10-2
rnnoise 1:0.2-1
rubberband 4.0.0-2
rust-bindgen 0.72.1-3
rustup 1.29.0-2
sbc 2.2-1
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signond 8.61-4
signon-kwallet-extension 26.04.3-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
simde 0.8.2-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
smbclient 2:4.24.6-1
snap-pac 3.0.1-3
snapper 0.13.1-2
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
solid 6.29.0-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
steam 1.0.0.87-1
steam-devices 1.0.0.87-1
sudo 1.9.17.p2-6
suitesparse 7.14.0-1
svt-av1 4.2.0-1
syndication 6.29.0-1
syntax-highlighting 6.29.0-1
system-config-printer 1.5.18-6
systemd 261.2-1
systemd-libs 261.2-1
